dataset,var,config.train,config.vars,T,alg,t_run_s,MAE,RMSE,R2,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence Balanced,Accuracy
dacc,tunuyan.temp_min,normal,local,1,rf,435.173,2.23,2.86,0.85,0.8952434881,0.7514451043,0.8800150001,0.9091438418,0.6874292186,0,0.005209017835,0.7971014493,0.9398682043,0.8576998051,0.9106145251,0.8576998051,0.7971014493,0.8262910798,0.3125707814,0.2491506229,0.2904869762,0.8684848268
dacc,agua_amarga.temp_min,normal,local,1,bnReg,277.827,1.8,2.3,0.87,0.9099660249,0.5638178559,0.8956428481,0.9229091893,0.855605889,0,0,0.4901960784,0.9808074123,0.8116883117,0.9193548387,0.8116883117,0.4901960784,0.6112469438,0.144394111,0.07078142695,0.08720271801,0.7355017454
dacc,tunuyan.temp_min,normal,local,2,rf,2114.181,2.22,2.85,0.85,0.8952434881,0.7504396009,0.8800150001,0.9091438418,0.6874292186,0,0.0007196348157,0.7898550725,0.9431630972,0.8633663366,0.9080095163,0.8633663366,0.7898550725,0.8249763482,0.3125707814,0.2468856172,0.2859569649,0.8665090848
dacc,tunuyan.temp_min,normal,all,2,rf,7654.959,2.1,2.67,0.87,0.8969422424,0.7536143895,0.8818134155,0.9107369847,0.6874292186,0,0.0000854342267,0.7862318841,0.9472817133,0.8714859438,0.9069400631,0.8714859438,0.7862318841,0.8266666667,0.3125707814,0.2457531144,0.281993205,0.8667567987
dacc,tunuyan.temp_min,normal,all,1,rf,4306.966,2.11,2.68,0.87,0.8952434881,0.7494259291,0.8800150001,0.9091438418,0.6874292186,0,0.00007182469677,0.7826086957,0.9464579901,0.8692152918,0.9054373522,0.8692152918,0.7826086957,0.8236415634,0.3125707814,0.2446206116,0.2814269536,0.8645333429
dacc,junin.temp_min,normal,local,1,bnReg,288.916,1.71,2.18,0.91,0.9224235561,0.5465055688,0.9089495171,0.9344729979,0.8742921857,0,0,0.4324324324,0.9928756477,0.8971962617,0.9240506329,0.8971962617,0.4324324324,0.5835866261,0.1257078143,0.0543601359,0.06058890147,0.7126540401
dacc,la_llave.temp_min,normal,local,2,rf,2126.924,2.33,2.97,0.84,0.8941109853,0.6815526528,0.8788167047,0.9080810939,0.7774631937,0,0.002130973557,0.7073791349,0.9475600874,0.7942857143,0.9187853107,0.7942857143,0.7073791349,0.7483176312,0.2225368063,0.1574178935,0.1981879955,0.8274696111
dacc,junin.temp_min,normal,local,4,bnReg,4615.08,1.6,2.05,0.91,0.9320113314,0.6259285555,0.9192499971,0.9433123043,0.8742209632,0,0,0.527027027,0.9902786779,0.8863636364,0.9357011635,0.8863636364,0.527027027,0.6610169492,0.1257790368,0.06628895184,0.07478753541,0.7586528525
dacc,la_llave.temp_min,normal,local,1,rf,438.235,2.34,3,0.84,0.8878822197,0.6599281475,0.8722350091,0.9022269903,0.7774631937,0,0.0002896194098,0.6819338422,0.9468317553,0.7859237537,0.9122807018,0.7859237537,0.6819338422,0.7302452316,0.2225368063,0.1517553794,0.1930917327,0.8143827988
dacc,junin.temp_min,normal,local,3,bnReg,2358.689,1.63,2.08,0.91,0.9309173273,0.6124824634,0.9180749951,0.9423041553,0.8742921857,0,0,0.5045045045,0.9922279793,0.9032258065,0.9330085262,0.9032258065,0.5045045045,0.6473988439,0.1257078143,0.06342015855,0.07021517554,0.7483662419
dacc,la_llave.temp_min,normal,all,2,rf,7610.114,2.29,2.95,0.85,0.8901472254,0.6542768861,0.8746266403,0.9043574793,0.7774631937,0,0.0000000001660728701,0.6386768448,0.9621267298,0.8283828383,0.9029391661,0.8283828383,0.6386768448,0.7212643678,0.2225368063,0.1421291053,0.1715741789,0.8004017873
dacc,la_llave.temp_min,normal,all,1,rf,4278.554,2.3,2.98,0.85,0.892412231,0.6593841425,0.8770202154,0.9064860115,0.7774631937,0,0,0.6361323155,0.9657683904,0.8417508418,0.9026548673,0.8417508418,0.6361323155,0.7246376812,0.2225368063,0.1415628539,0.1681766704,0.800950353
dacc,agua_amarga.temp_min,normal,all,2,rf,7543.838,1.59,2.05,0.9,0.9246885617,0.6565839993,0.9113784303,0.9365659009,0.855605889,0,0.000000003716352425,0.6039215686,0.9788219722,0.8279569892,0.9360759494,0.8279569892,0.6039215686,0.6984126984,0.144394111,0.08720271801,0.1053227633,0.7913717704
dacc,agua_amarga.temp_min,normal,all,1,rf,4254.336,1.58,2.04,0.9,0.9235560589,0.6475362576,0.9101635787,0.9355198483,0.855605889,0,0.0000000001903813025,0.5882352941,0.9801455989,0.8333333333,0.9337957125,0.8333333333,0.5882352941,0.6896551724,0.144394111,0.08493771234,0.1019252548,0.7841904465
dacc,junin.temp_min,normal,all,1,rf,4260.611,1.61,2.06,0.91,0.9365798414,0.6619310024,0.9241865698,0.9474966991,0.8742921857,0,0,0.5765765766,0.9883419689,0.8767123288,0.9419753086,0.8767123288,0.5765765766,0.6956521739,0.1257078143,0.0724801812,0.08267270668,0.7824592727
dacc,agua_amarga.temp_min,normal,local,2,rf,2104.874,1.75,2.25,0.88,0.9144960362,0.6101066458,0.9004719519,0.9271239819,0.855605889,0,0.00000003134350717,0.568627451,0.9728656519,0.7795698925,0.9303797468,0.7795698925,0.568627451,0.6575963719,0.144394111,0.08210645527,0.1053227633,0.7707465514
