"","date","junin.temp_max","junin.humedad_max","junin.temp_med","junin.radiacion_med","junin.humedad_med","junin.temp_min","junin.humedad_min","tunuyan.temp_max","tunuyan.humedad_max","tunuyan.temp_med","tunuyan.radiacion_med","tunuyan.humedad_med","tunuyan.temp_min","tunuyan.humedad_min","agua_amarga.temp_max","agua_amarga.humedad_max","agua_amarga.temp_med","agua_amarga.radiacion_med","agua_amarga.humedad_med","agua_amarga.temp_min","agua_amarga.humedad_min","las_paredes.temp_max","las_paredes.humedad_max","las_paredes.temp_med","las_paredes.radiacion_med","las_paredes.humedad_med","las_paredes.temp_min","las_paredes.humedad_min","la_llave.temp_max","la_llave.humedad_max","la_llave.temp_med","la_llave.radiacion_med","la_llave.humedad_med","la_llave.temp_min","la_llave.humedad_min"
"2001-01-01",2001-01-01,38.5,79,27.8458333333333,329.416666666667,37.125,16.89,13,33.41,87,23.2083333333333,249,57.6666666666667,13.65,25,32.92,61,24.4166666666667,123.708333333333,41.375,16.5,25,35.94,69,25.3,302.125,39.5416666666667,13.85,21,37.52,78,26.225,307.666666666667,46.5416666666667,14.06,28
"2001-01-02",2001-01-02,38.58,69,28.3583333333333,358.291666666667,41.6666666666667,18.28,16,35.16,83,23.8583333333333,344.958333333333,54.5416666666667,13.65,27,35.11,50,25.9625,157.875,37.2083333333333,17.27,25,41.04,49,27.9458333333333,336,38.1666666666667,19.15,25,39.31,73,25.8086956521739,279.434782608696,53.1304347826087,17.27,36
"2001-01-03",2001-01-03,31.53,78,25.125,293.041666666667,53.8333333333333,20.55,26,29.28,83,23.2541666666667,310.208333333333,59.2083333333333,17.48,41,29,74,23.4458333333333,143.583333333333,53.3333333333333,19.28,37,30.78,90,23.3,268.875,61.625,16.96,41,30.39,91,22.904347826087,257.304347826087,68.3478260869565,16.91,46
"2001-01-04",2001-01-04,37.85,96,26.4041666666667,367.166666666667,58.5833333333333,15.83,1,34.57,90,22.9291666666667,347.291666666667,61.2916666666667,11.47,25,34.93,60,24.6625,157.125,42.625,14.18,20,36.25,88,24.9708333333333,320.791666666667,58.1666666666667,15.88,30,36.79,91,25.9666666666667,334.916666666667,62.3333333333333,16.73,35
"2001-01-05",2001-01-05,34.82,97,26.5333333333333,357.916666666667,66.9583333333333,17.87,42,34.1,85,24.4208333333333,332.416666666667,61,15.83,4,34.18,73,25.5083333333333,150.666666666667,48.4166666666667,18.43,35,37.62,69,27.1083333333333,259.375,49.9583333333333,19.75,35,38.19,71,26.6363636363636,199.409090909091,56.0909090909091,20.03,41
"2001-01-06",2001-01-06,33.38,91,25.8125,350.375,56.0416666666667,19.7,28,32.4,87,22.95,323.875,60.5,15.55,28,31.09,77,23.4916666666667,147.041666666667,49.0833333333333,17.74,30,32.89,71,24.9375,333.666666666667,46.9583333333333,15.42,33,34,86,25.975,341.75,51.875,15.47,38
"2001-01-07",2001-01-07,31.73,87,25.2541666666667,322.208333333333,57.125,20.49,34,31.71,88,21.3458333333333,225.416666666667,62.9166666666667,13.21,32,31.19,62,22.925,120.625,44.9166666666667,17.84,29,31.19,64,24.225,295.708333333333,39.375,18.51,29,31.99,72,24.7541666666667,288.416666666667,47.3333333333333,19.77,35
"2001-01-08",2001-01-08,30.31,85,22.9958333333333,370.166666666667,58.4166666666667,17.25,31,29.33,89,21.5291666666667,328.375,61.2083333333333,15.21,31,28.18,65,21.8208333333333,148.583333333333,50.125,17.56,32,31.19,80,22.1666666666667,342.375,47.7916666666667,13.75,30,30.86,76,22.4166666666667,341.708333333333,53.0416666666667,15.31,37
"2001-01-09",2001-01-09,32.79,85,23.7333333333333,357.791666666667,60.9583333333333,17.76,2,20,87,14.9111111111111,4.11111111111111,80.3333333333333,11.7,59,33.3,76,22.8,155.208333333333,45,13.9,10,32.94,83,23.0916666666667,326.083333333333,50.5833333333333,13.72,15,35.63,75,24.195652173913,334.173913043478,54.0869565217391,17.32,16
"2001-01-10",2001-01-10,26.91,77,19.1375,350.958333333333,29.8333333333333,13.39,12,22.81,75,17.3125,464.5625,30.125,9.39,12,26.11,42,17.9083333333333,155.083333333333,22.8333333333333,12.88,11,25.39,49,17.3208333333333,302.166666666667,23.5416666666667,9.16,11,25.47,56,19.2041666666667,620.729166666667,30.4583333333333,10.34,15
