"","date","las_paredes.Hmin","las_paredes.Hmed","las_paredes.Hmax","las_paredes.Tmin","las_paredes.Tmax","las_paredes.Tmed","la_llave.Hmin","la_llave.Hmed","la_llave.Hmax","la_llave.Tmin","la_llave.Tmax","la_llave.Tmed","tunuyan.Hmin","tunuyan.Hmed","tunuyan.Hmax","tunuyan.Tmin","tunuyan.Tmax","tunuyan.Tmed","junin.Tmax","junin.Tmed","junin.Tmin","junin.Hmax","junin.Hmed","junin.Hmin","agua_amarga.Tmax","agua_amarga.Tmed","agua_amarga.Tmin","agua_amarga.Hmax","agua_amarga.Hmed","agua_amarga.Hmin","el_marcado.Tmax","el_marcado.Tmed","el_marcado.Tmin","el_marcado.Hmax","el_marcado.Hmed","el_marcado.Hmin"
"1","2007-03-20","19.375","22.1666666666667","25.2083333333333","20.9279166666667","23.26125","22.0583333333333","13.1666666666667","15.3333333333333","17.3333333333333","23.89","25.9933333333333","24.8666666666667","67.25","70.7083333333333","74.4166666666667","18.5179166666667","20.7558333333333","19.5416666666667","32","21.2","11.7","89","56","20","29.1","20.8","12.9","96","73","56","32.9","22.3","10.9","70","39","17"
"2","2007-03-21","28.5416666666667","31","33.6666666666667","19.6558333333333","21.4791666666667","20.4166666666667","31.2083333333333","34.3333333333333","37.75","19.8829166666667","21.9608333333333","20.7875","65.6666666666667","69.0833333333333","72.6666666666667","18.7383333333333","20.93","19.8166666666667","31.5","21.7","13.1","84","57","28","29.8","20.8","12.8","95","74","56","32.4","22.8","12.9","69","41","21"
"3","2007-03-22","57.7083333333333","59.6666666666667","61.875","14.8975","15.7995833333333","15.2916666666667","58.4166666666667","60.4166666666667","62.2083333333333","15.62125","16.6854166666667","16.05","77.875","79.8333333333333","82.0416666666667","16.20875","16.9454166666667","16.5125","21.1","17.5","15.4","82","71","52","19","15.4","12.8","99","92","78","21.4","17.7","15.4","69","60","42"
"4","2007-03-23","41","43.9583333333333","46.9166666666667","15.4591666666667","17.1691666666667","16.2583333333333","41.8333333333333","44.125","46.9583333333333","15.9283333333333","17.7520833333333","16.8166666666667","72.2916666666667","75.4583333333333","78.75","15.7708333333333","17.5858333333333","16.5958333333333","27.2","17.2","8.5","93","63","21","23.2","16.3","10.9","99","85","59","27.7","18.7","8.1","77","48","19"
"5","2007-03-24","45.8333333333333","47.9166666666667","50.125","16.8958333333333","18.24875","17.4875","44.0869565217391","46.7826086956522","49.1739130434783","17.354347826087","19.1339130434783","18.2130434782609","71.5","74.375","77.0416666666667","16.09875","17.88375","16.8708333333333","26.7","19.4","13.9","80","58","43","25.2","17.3","11.6","99","82","59","26.5","19.8","15.2","66","48","36"
"6","2007-03-25","44.75","48.2083333333333","51.25","17.9729166666667","19.6308333333333","18.725","42.5217391304348","45.4782608695652","49.1739130434783","19.2682608695652","20.9286956521739","20.0521739130435","70","72.5833333333333","75.4583333333333","18.9683333333333","20.7345833333333","19.7333333333333","28","18.8","12.9","94","73","38","27.7","19.1","14.4","99","84","55","29.1","19.3","11.4","76","56","26"
"7","2007-03-26","28.7083333333333","32.7083333333333","36.875","13.7716666666667","14.7829166666667","14.2","27.5416666666667","30.7916666666667","34.5833333333333","14.23375","15.30875","14.7166666666667","68.9166666666667","71.4583333333333","74.1666666666667","15.82125","16.81","16.2041666666667","19.8","16.1","13.1","85","66","42","19.9","15.7","9.7","99","86","72","19.9","15.6","13.1","71","52","38"
"8","2007-03-27","52.375","54.2916666666667","56.2083333333333","11.1091666666667","11.7","11.3166666666667","50.125","52.5","55.0833333333333","12.8208333333333","13.5725","13.1708333333333","88.4583333333333","89.4166666666667","90.375","10.145","10.6966666666667","10.3791666666667","13.9","11.3","10","89","83","57","11","9.7","8.3","99","98","94","13.2","11.6","10.4","73","69","55"
"9","2007-03-28","64.875","65.6666666666667","66.3333333333333","12.2558333333333","12.6908333333333","12.425","66.25","66.7083333333333","67.0833333333333","13.5875","14.1270833333333","13.8166666666667","84.4583333333333","85.9583333333333","87.75","13.3379166666667","14.31125","13.7166666666667","11.7","10.9","10.1","89","84","78","18.2","13","9.2","99","95","83","17.3","13.4","10.2","76","72","61"
"10","2007-04-13","18.625","21.25","23.9583333333333","16.2129166666667","18.5216666666667","17.275","17","19.125","21.2916666666667","16.6866666666667","18.62625","17.6666666666667","67.7916666666667","70.8333333333333","74","9.84666666666667","12.3308333333333","10.9875","25","19.4","11.4","79","46","25","23.1","13","3.3","94","72","53","27.1","15.1","3.4","75","47","20"
