dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-temp,1,20,5517,normal,hc,bic-g,1.16,0.012,NA,3751,NA,junin.temp_min_t,2.17,0.9,0.55,0.93,0.84,0.99
dacc-temp,1,20,5517,normal,hc,bic-g,1.16,0.012,NA,3751,NA,tunuyan.temp_min_t,2.86,0.85,0.76,0.88,0.85,0.94
dacc-temp,1,20,5517,normal,hc,bic-g,1.16,0.012,NA,3751,NA,agua_amarga.temp_min_t,2.22,0.88,0.65,0.93,0.8,0.97
dacc-temp,1,20,5517,normal,hc,bic-g,1.16,0.012,NA,3751,NA,las_paredes.temp_min_t,2.93,0.82,0.63,0.91,0.82,0.97
dacc-temp,1,20,5517,normal,hc,bic-g,1.16,0.012,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,junin.temp_min_t,2.46,0.77,0.47,0.94,0.62,0.98
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,tunuyan.temp_min_t,3.24,0.67,0.56,0.85,0.82,0.96
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,agua_amarga.temp_min_t,2.51,0.74,0.55,0.92,0.58,0.96
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,las_paredes.temp_min_t,2.77,0.71,0.36,0.9,0.8,0.99
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,la_llave.temp_min_t,3.3,0.67,0.46,0.87,0.71,0.96
dacc-temp,1,20,5517,smote,hc,bic-g,0.91,0.011,390,3315,1560,junin.temp_min_t,2.17,0.9,0.73,0.93,0.74,0.96
dacc-spring,1,34,1829,smote,hc,bic-g,1.813,0.011,118,1003,472,junin.temp_min_t,2.35,0.79,0.35,0.92,0.48,0.97
dacc-temp,1,20,5517,smote,hc,bic-g,2.89,0.034,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.82,0.9,0.84,0.93
dacc-temp,1,20,5517,smote,hc,bic-g,1.31,0.014,496,4216,1984,agua_amarga.temp_min_t,2.33,0.87,0.74,0.92,0.7,0.95
dacc,1,35,5517,normal,hc,bic-g,11.122,0.04,NA,3751,NA,junin.temp_min_t,2.14,0.91,0.53,0.93,0.87,0.99
dacc,1,35,5517,normal,hc,bic-g,11.122,0.04,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.75,0.89,0.89,0.96
dacc,1,35,5517,normal,hc,bic-g,11.122,0.04,NA,3751,NA,agua_amarga.temp_min_t,2.08,0.9,0.63,0.92,0.77,0.97
dacc,1,35,5517,normal,hc,bic-g,11.122,0.04,NA,3751,NA,las_paredes.temp_min_t,2.77,0.84,0.6,0.9,0.81,0.97
dacc,1,35,5517,normal,hc,bic-g,11.122,0.04,NA,3751,NA,la_llave.temp_min_t,2.93,0.85,0.72,0.9,0.8,0.95
dacc-temp,1,20,5517,smote,hc,bic-g,1.548,0.016,567,4819,2268,las_paredes.temp_min_t,3.02,0.82,0.75,0.9,0.72,0.93
dacc-spring,1,34,1829,smote,hc,bic-g,6.95,0.029,348,2958,1392,tunuyan.temp_min_t,3.23,0.67,0.7,0.87,0.77,0.93
dacc-temp,1,20,5517,smote,hc,bic-g,2.015,0.02,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.8,0.9,0.75,0.92
dacc-spring,1,34,1829,smote,hc,bic-g,2.628,0.014,163,1385,652,agua_amarga.temp_min_t,2.8,0.75,0.67,0.92,0.54,0.94
