"","Station","Method","MAE","r2","RMSE","Recall","Spec","F1"
"F1","junin","buildMdz",17.06,0.72,17.45,0,1,NA
"F11","junin","FAO",1.78,0.9,2.23,0.61,0.98,0.704960835509138
"F12","junin","RF",0.84,0.97,1.12,0.77,0.99,0.842364532019705
"F13","junin","BN",1.61,0.91,2.06,0.58,0.98,0.688
"F14","tunuyan","buildMdz",23.48,0.63,24,0,1,NA
"F15","tunuyan","FAO",2.35,0.84,2.9,0.79,0.95,0.833174451858913
"F16","tunuyan","RF",2.09,0.87,2.66,0.78,0.95,0.821394460362942
"F17","tunuyan","BN",2.15,0.86,2.76,0.74,0.96,0.809145129224652
"F18","agua_amarga","buildMdz",16.05,0.72,16.47,0.01,1,0.0155642023346304
"F19","agua_amarga","FAO",1.79,0.89,2.15,0.59,0.97,0.677200902934537
"F110","agua_amarga","RF",1.6,0.9,2.05,0.59,0.98,0.689497716894977
"F111","agua_amarga","BN",1.58,0.9,2.07,0.62,0.97,0.685466377440347
"F112","las_paredes","buildMdz",14.78,0.72,15.27,0,1,NA
"F113","las_paredes","FAO",2.06,0.86,2.6,0.66,0.97,0.732297063903281
"F114","las_paredes","RF",2.1,0.84,2.79,0.53,0.98,0.665369649805447
"F115","las_paredes","BN",2.09,0.84,2.76,0.61,0.97,0.693950177935943
"F116","la_llave","buildMdz",16.85,0.71,17.35,0,1,NA
"F117","la_llave","FAO",2.38,0.85,2.94,0.74,0.96,0.78804347826087
"F118","la_llave","RF",2.29,0.85,2.94,0.65,0.96,0.722617354196301
"F119","la_llave","BN",2.23,0.85,2.94,0.72,0.95,0.754362416107383
