algo,tsunset,ts2,ts2round,ts2rounddate,junin.temp_min,junin.temp_max,tunuyan.temp_min,tunuyan.temp_max,agua_amarga.temp_max,agua_amarga.temp_min,las_paredes.temp_max,las_paredes.temp_min,la_llave.temp_max,la_llave.temp_min
1,2001-01-01 20:46:33,2001-01-01 22:46:33,2001-01-01 23:00:00,2001-01-01,16.89,38.5,13.65,33.41,32.92,16.5,35.94,13.85,37.52,14.06
2,2001-01-02 20:46:42,2001-01-02 22:46:42,2001-01-02 23:00:00,2001-01-02,18.28,38.58,13.65,35.16,35.11,17.27,41.04,19.15,39.31,17.27
3,2001-01-03 20:46:50,2001-01-03 22:46:50,2001-01-03 23:00:00,2001-01-03,20.55,31.53,17.48,29.28,29,19.28,30.78,16.96,30.39,16.91
4,2001-01-04 20:46:55,2001-01-04 22:46:55,2001-01-04 23:00:00,2001-01-04,15.83,37.85,11.47,34.57,34.93,14.18,36.25,15.88,36.79,16.73
5,2001-01-05 20:46:59,2001-01-05 22:46:59,2001-01-05 23:00:00,2001-01-05,17.87,34.82,15.83,34.1,34.18,18.43,37.62,19.75,38.19,20.03
6,2001-01-06 20:47:01,2001-01-06 22:47:01,2001-01-06 23:00:00,2001-01-06,19.7,33.38,15.55,32.4,31.09,17.74,32.89,15.42,34,15.47
7,2001-01-07 20:47:02,2001-01-07 22:47:02,2001-01-07 23:00:00,2001-01-07,20.49,31.73,13.21,31.71,31.19,17.84,31.19,18.51,31.99,19.77
8,2001-01-08 20:47:00,2001-01-08 22:47:00,2001-01-08 23:00:00,2001-01-08,17.25,30.31,15.21,29.33,28.18,17.56,31.19,13.75,30.86,15.31
9,2001-01-09 20:46:57,2001-01-09 22:46:57,2001-01-09 23:00:00,2001-01-09,17.76,32.79,11.7,20,33.3,13.9,32.94,13.72,35.63,17.32
10,2001-01-10 20:46:51,2001-01-10 22:46:51,2001-01-10 23:00:00,2001-01-10,13.39,26.91,9.39,22.81,26.11,12.88,25.39,9.16,25.47,10.34
11,2001-01-11 20:46:44,2001-01-11 22:46:44,2001-01-11 23:00:00,2001-01-11,8.54,29.93,4.85,28.02,27.04,8.65,32.04,5.42,32.12,5.67
12,2001-01-12 20:46:35,2001-01-12 22:46:35,2001-01-12 23:00:00,2001-01-12,12.57,31.89,7.72,31.06,30.52,10.98,33.77,14.47,34.9,14.18
