dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-spring,1,34,1829,normal,local,ignore,0,0.002,NA,1243,NA,junin.temp_min_t,2.32,0.81,0.14,0.93,0.6,0.99
dacc-spring,1,34,1829,normal,local,ignore,0,0.001,NA,1243,NA,tunuyan.temp_min_t,3.23,0.67,0.58,0.86,0.84,0.96
dacc-spring,1,34,1829,normal,local,ignore,0,0.001,NA,1243,NA,agua_amarga.temp_min_t,2.59,0.72,0.25,0.91,0.58,0.98
dacc-spring,1,34,1829,normal,local,ignore,0,0.001,NA,1243,NA,las_paredes.temp_min_t,2.87,0.68,0.44,0.91,0.76,0.98
dacc-spring,1,34,1829,normal,local,ignore,0,0.001,NA,1243,NA,la_llave.temp_min_t,3.18,0.69,0.61,0.9,0.78,0.96
dacc-temp,1,20,5517,normal,local,ignore,0,0.002,NA,3751,NA,junin.temp_min_t,2.25,0.89,0.51,0.93,0.83,0.99
dacc-temp,1,20,5517,normal,local,ignore,0,0.001,NA,3751,NA,tunuyan.temp_min_t,2.95,0.84,0.75,0.88,0.85,0.94
dacc-temp,1,20,5517,normal,local,ignore,0,0.001,NA,3751,NA,agua_amarga.temp_min_t,2.4,0.86,0.55,0.91,0.79,0.98
dacc-temp,1,20,5517,normal,local,ignore,0,0.001,NA,3751,NA,las_paredes.temp_min_t,3.08,0.8,0.58,0.9,0.82,0.97
dacc,1,35,5517,normal,local,ignore,0,0.002,NA,3751,NA,junin.temp_min_t,2.18,0.91,0.43,0.92,0.9,0.99
dacc-temp,1,20,5517,normal,local,ignore,0,0.001,NA,3751,NA,la_llave.temp_min_t,3.2,0.82,0.65,0.88,0.79,0.95
dacc,1,35,5517,normal,local,ignore,0,0.002,NA,3751,NA,tunuyan.temp_min_t,2.92,0.84,0.76,0.89,0.88,0.95
dacc,1,35,5517,normal,local,ignore,0,0.002,NA,3751,NA,agua_amarga.temp_min_t,2.32,0.87,0.49,0.91,0.81,0.98
dacc,1,35,5517,normal,local,ignore,0,0.002,NA,3751,NA,las_paredes.temp_min_t,2.9,0.83,0.53,0.9,0.87,0.98
dacc-spring,2,63,1828,normal,local,ignore,0,0.001,NA,1242,NA,junin.temp_min_t,2.24,0.81,0.19,0.94,0.73,0.99
dacc,1,35,5517,normal,local,ignore,0,0.002,NA,3751,NA,la_llave.temp_min_t,2.97,0.85,0.67,0.89,0.81,0.95
dacc-spring,2,63,1828,normal,local,ignore,0,0.002,NA,1242,NA,tunuyan.temp_min_t,3.11,0.69,0.6,0.86,0.83,0.96
dacc-spring,2,63,1828,normal,local,ignore,0,0.002,NA,1242,NA,agua_amarga.temp_min_t,2.51,0.73,0.29,0.92,0.67,0.98
dacc-spring,2,63,1828,normal,local,ignore,0,0.002,NA,1242,NA,las_paredes.temp_min_t,2.83,0.69,0.46,0.91,0.73,0.97
dacc-spring,2,63,1828,normal,local,ignore,0,0.002,NA,1242,NA,la_llave.temp_min_t,3.17,0.69,0.59,0.89,0.75,0.96
dacc-temp,2,35,5516,normal,local,ignore,0,0.001,NA,3750,NA,junin.temp_min_t,2.2,0.89,0.57,0.93,0.84,0.98
dacc-temp,2,35,5516,normal,local,ignore,0,0.001,NA,3750,NA,tunuyan.temp_min_t,2.93,0.84,0.76,0.88,0.85,0.94
dacc-temp,2,35,5516,normal,local,ignore,0,0.001,NA,3750,NA,agua_amarga.temp_min_t,2.33,0.87,0.54,0.91,0.77,0.97
dacc-temp,2,35,5516,normal,local,ignore,0,0.001,NA,3750,NA,las_paredes.temp_min_t,3,0.81,0.62,0.91,0.82,0.97
dacc-temp,2,35,5516,normal,local,ignore,0,0.001,NA,3750,NA,la_llave.temp_min_t,3.15,0.82,0.67,0.89,0.8,0.95
dacc,2,65,5516,normal,local,ignore,0,0.003,NA,3750,NA,junin.temp_min_t,2.08,0.91,0.48,0.93,0.89,0.99
dacc,2,65,5516,normal,local,ignore,0,0.003,NA,3750,NA,tunuyan.temp_min_t,2.78,0.86,0.79,0.9,0.88,0.95
dacc,2,65,5516,normal,local,ignore,0,0.003,NA,3750,NA,agua_amarga.temp_min_t,2.29,0.88,0.51,0.91,0.8,0.98
dacc,2,65,5516,normal,local,ignore,0,0.003,NA,3750,NA,las_paredes.temp_min_t,2.83,0.83,0.55,0.9,0.83,0.97
dacc,2,65,5516,normal,local,ignore,0,0.002,NA,3750,NA,la_llave.temp_min_t,2.91,0.85,0.69,0.9,0.82,0.96
dacc-spring,3,92,1827,normal,local,ignore,0,0.002,NA,1241,NA,junin.temp_min_t,2.25,0.81,0.19,0.94,0.73,0.99
dacc-temp,3,50,5515,normal,local,ignore,0,0.003,NA,3749,NA,junin.temp_min_t,2.2,0.89,0.56,0.93,0.83,0.98
dacc-spring,3,92,1827,normal,local,ignore,0,0.002,NA,1241,NA,tunuyan.temp_min_t,3.07,0.69,0.6,0.87,0.84,0.96
dacc-spring,3,92,1827,normal,local,ignore,0,0.002,NA,1241,NA,agua_amarga.temp_min_t,2.46,0.74,0.29,0.92,0.62,0.98
dacc-spring,3,92,1827,normal,local,ignore,0,0.002,NA,1241,NA,las_paredes.temp_min_t,2.82,0.69,0.47,0.91,0.76,0.98
dacc-spring,3,92,1827,normal,local,ignore,0,0.002,NA,1241,NA,la_llave.temp_min_t,3.14,0.7,0.65,0.91,0.79,0.96
dacc-temp,3,50,5515,normal,local,ignore,0,0.002,NA,3749,NA,tunuyan.temp_min_t,2.91,0.84,0.77,0.89,0.86,0.94
dacc-temp,3,50,5515,normal,local,ignore,0,0.002,NA,3749,NA,agua_amarga.temp_min_t,2.31,0.87,0.54,0.91,0.77,0.97
dacc-temp,3,50,5515,normal,local,ignore,0,0.002,NA,3749,NA,las_paredes.temp_min_t,2.97,0.81,0.63,0.91,0.83,0.97
dacc-temp,3,50,5515,normal,local,ignore,0,0.002,NA,3749,NA,la_llave.temp_min_t,3.12,0.83,0.67,0.89,0.79,0.95
dacc,3,95,5515,normal,local,ignore,0,0.005,NA,3749,NA,junin.temp_min_t,2.08,0.91,0.5,0.93,0.9,0.99
dacc,3,95,5515,normal,local,ignore,0,0.004,NA,3749,NA,tunuyan.temp_min_t,2.72,0.86,0.8,0.9,0.88,0.95
dacc,3,95,5515,normal,local,ignore,0,0.006,NA,3749,NA,agua_amarga.temp_min_t,2.27,0.88,0.5,0.91,0.79,0.98
dacc-spring,4,121,1826,normal,local,ignore,0,0.002,NA,1241,NA,junin.temp_min_t,2.25,0.81,0.21,0.94,0.64,0.99
dacc-spring,4,121,1826,normal,local,ignore,0,0.003,NA,1241,NA,tunuyan.temp_min_t,3.06,0.69,0.6,0.87,0.85,0.96
dacc-spring,4,121,1826,normal,local,ignore,0,0.003,NA,1241,NA,agua_amarga.temp_min_t,2.49,0.74,0.29,0.92,0.67,0.98
dacc-spring,4,121,1826,normal,local,ignore,0,0.003,NA,1241,NA,las_paredes.temp_min_t,2.82,0.69,0.47,0.9,0.71,0.97
dacc-spring,4,121,1826,normal,local,ignore,0,0.003,NA,1241,NA,la_llave.temp_min_t,3.14,0.7,0.62,0.9,0.76,0.96
dacc,3,95,5515,normal,local,ignore,0,0.004,NA,3749,NA,las_paredes.temp_min_t,2.8,0.84,0.59,0.9,0.84,0.97
dacc,3,95,5515,normal,local,ignore,0,0.004,NA,3749,NA,la_llave.temp_min_t,2.88,0.85,0.71,0.9,0.81,0.95
