"","Overall"
"junin.temp_max_T_4",19.7534248904387
"junin.humedad_max_T_4",8.53307972459544
"junin.temp_med_T_4",19.1394955174149
"junin.humedad_med_T_4",13.2400100768593
"junin.temp_min_T_4",19.817014570166
"junin.humedad_min_T_4",16.1519607564644
"tunuyan.temp_max_T_4",16.2101070242705
"tunuyan.humedad_max_T_4",5.36969095536504
"tunuyan.temp_med_T_4",29.4841201558647
"tunuyan.humedad_med_T_4",12.2076934872193
"tunuyan.temp_min_T_4",33.3355557372352
"tunuyan.humedad_min_T_4",14.4547929643573
"agua_amarga.temp_max_T_4",25.3039188589557
"agua_amarga.humedad_max_T_4",13.0040763744109
"agua_amarga.temp_med_T_4",20.3478371690679
"agua_amarga.humedad_med_T_4",8.64861249962401
"agua_amarga.temp_min_T_4",31.0318500830264
"agua_amarga.humedad_min_T_4",11.0318490220325
"las_paredes.temp_max_T_4",19.7389206613302
"las_paredes.humedad_max_T_4",9.98430900737006
"las_paredes.temp_med_T_4",24.0001149286244
"las_paredes.humedad_med_T_4",8.07920278845354
"las_paredes.temp_min_T_4",20.5672896526131
"las_paredes.humedad_min_T_4",5.69997519578079
"la_llave.temp_max_T_4",21.1691870610924
"la_llave.humedad_max_T_4",9.95150932253004
"la_llave.temp_med_T_4",29.2946950560375
"la_llave.humedad_med_T_4",7.54784098414127
"la_llave.temp_min_T_4",25.7441019371707
"la_llave.humedad_min_T_4",8.21888144239943
"junin.temp_max_T_3",20.7018751547412
"junin.humedad_max_T_3",9.28550503689997
"junin.temp_med_T_3",9.49500577323163
"junin.humedad_med_T_3",8.36673375875843
"junin.temp_min_T_3",12.9293716580136
"junin.humedad_min_T_3",16.0977029333901
"tunuyan.temp_max_T_3",14.260185463738
"tunuyan.humedad_max_T_3",13.5797826297565
"tunuyan.temp_med_T_3",25.6741822412133
"tunuyan.humedad_med_T_3",12.3021544996371
"tunuyan.temp_min_T_3",29.363075643565
"tunuyan.humedad_min_T_3",16.6022143172911
"agua_amarga.temp_max_T_3",24.1719009081479
"agua_amarga.humedad_max_T_3",6.93215802072461
"agua_amarga.temp_med_T_3",16.5121685303557
"agua_amarga.humedad_med_T_3",6.87718464543217
"agua_amarga.temp_min_T_3",6.35892643043555
"agua_amarga.humedad_min_T_3",7.88154892521573
"las_paredes.temp_max_T_3",25.8465359320368
"las_paredes.humedad_max_T_3",8.58390612821012
"las_paredes.temp_med_T_3",23.8369223378683
"las_paredes.humedad_med_T_3",14.6529243659259
"las_paredes.temp_min_T_3",18.0104857239547
"las_paredes.humedad_min_T_3",12.0490834695847
"la_llave.temp_max_T_3",16.3556420677565
"la_llave.humedad_max_T_3",5.73964132165718
"la_llave.temp_med_T_3",24.4155333757352
"la_llave.humedad_med_T_3",8.59032622956182
"la_llave.temp_min_T_3",26.5125119872928
"la_llave.humedad_min_T_3",8.68762883632514
"junin.temp_max_T_2",25.2416684379977
"junin.humedad_max_T_2",10.6825855071893
"junin.temp_med_T_2",23.0953594748915
"junin.humedad_med_T_2",22.0258271028962
"junin.temp_min_T_2",22.7395730012722
"junin.humedad_min_T_2",16.3622216275727
"tunuyan.temp_max_T_2",32.4907711839574
"tunuyan.humedad_max_T_2",4.57752228137382
"tunuyan.temp_med_T_2",38.3568945896451
"tunuyan.humedad_med_T_2",12.2723389767382
"tunuyan.temp_min_T_2",31.851795941409
"tunuyan.humedad_min_T_2",18.4877020780748
"agua_amarga.temp_max_T_2",26.1799690579222
"agua_amarga.humedad_max_T_2",0
"agua_amarga.temp_med_T_2",15.6100259432524
"agua_amarga.humedad_med_T_2",11.8342546162275
"agua_amarga.temp_min_T_2",14.369097208957
"agua_amarga.humedad_min_T_2",16.8973639615432
"las_paredes.temp_max_T_2",34.3413928955413
"las_paredes.humedad_max_T_2",12.1804461182711
"las_paredes.temp_med_T_2",25.1544115037914
"las_paredes.humedad_med_T_2",8.24687481210227
"las_paredes.temp_min_T_2",11.445965192421
"las_paredes.humedad_min_T_2",13.331480829141
"la_llave.temp_max_T_2",30.9576221917411
"la_llave.humedad_max_T_2",4.00126521029692
"la_llave.temp_med_T_2",21.2834781256988
"la_llave.humedad_med_T_2",20.0478839094797
"la_llave.temp_min_T_2",22.1848843610564
"la_llave.humedad_min_T_2",18.760089010998
"junin.temp_max_T_1",76.8973298100003
"junin.humedad_max_T_1",20.731357753959
"junin.temp_med_T_1",82.3786836508038
"junin.humedad_med_T_1",69.3627152136921
"junin.temp_min_T_1",28.1112556330006
"junin.humedad_min_T_1",45.3300145326433
"tunuyan.temp_max_T_1",59.9647398633329
"tunuyan.humedad_max_T_1",17.6025936340692
"tunuyan.temp_med_T_1",43.0489702488929
"tunuyan.humedad_med_T_1",100
"tunuyan.temp_min_T_1",57.482742360259
"tunuyan.humedad_min_T_1",80.9583499018218
"agua_amarga.temp_max_T_1",49.4603755101113
"agua_amarga.humedad_max_T_1",18.0319665781715
"agua_amarga.temp_med_T_1",58.5394212484531
"agua_amarga.humedad_med_T_1",36.0746912683451
"agua_amarga.temp_min_T_1",49.2307859879421
"agua_amarga.humedad_min_T_1",81.8732745247023
"las_paredes.temp_max_T_1",70.6069958789011
"las_paredes.humedad_max_T_1",23.7584001897243
"las_paredes.temp_med_T_1",55.9264609881354
"las_paredes.humedad_med_T_1",55.1757504974451
"las_paredes.temp_min_T_1",48.0600148972987
"las_paredes.humedad_min_T_1",66.1324994841588
"la_llave.temp_max_T_1",85.7852066555687
"la_llave.humedad_max_T_1",41.9230803794026
"la_llave.temp_med_T_1",41.328532842926
"la_llave.humedad_med_T_1",62.3615901316232
"la_llave.temp_min_T_1",52.7558799644225
"la_llave.humedad_min_T_1",71.920022997683
