"","Overall"
"agua_amarga.temp_max_T_3",18.5336635721507
"agua_amarga.humedad_max_T_3",9.66306394484505
"agua_amarga.temp_med_T_3",1.0258631135942
"agua_amarga.humedad_med_T_3",13.5071894439636
"agua_amarga.temp_min_T_3",25.7127932319674
"agua_amarga.humedad_min_T_3",18.7842846602115
"agua_amarga.temp_max_T_2",38.0284309323342
"agua_amarga.humedad_max_T_2",21.5290150933414
"agua_amarga.temp_med_T_2",0
"agua_amarga.humedad_med_T_2",27.698574275877
"agua_amarga.temp_min_T_2",15.8908671026378
"agua_amarga.humedad_min_T_2",22.9785450729857
"agua_amarga.temp_max_T_1",68.214861837826
"agua_amarga.humedad_max_T_1",43.1057799733884
"agua_amarga.temp_med_T_1",79.5875090882545
"agua_amarga.humedad_med_T_1",82.6450705755783
"agua_amarga.temp_min_T_1",37.5276361577248
"agua_amarga.humedad_min_T_1",100
