"","nodes"
"1","agua_amarga.temp_max_T_3"
"2","agua_amarga.humedad_max_T_3"
"3","agua_amarga.temp_med_T_3"
"4","agua_amarga.humedad_med_T_3"
"5","agua_amarga.temp_min_T_3"
"6","agua_amarga.humedad_min_T_3"
"7","agua_amarga.temp_max_T_2"
"8","agua_amarga.humedad_max_T_2"
"9","agua_amarga.temp_med_T_2"
"10","agua_amarga.humedad_med_T_2"
"11","agua_amarga.temp_min_T_2"
"12","agua_amarga.humedad_min_T_2"
"13","agua_amarga.temp_max_T_1"
"14","agua_amarga.humedad_max_T_1"
"15","agua_amarga.temp_med_T_1"
"16","agua_amarga.humedad_med_T_1"
"17","agua_amarga.temp_min_T_1"
"18","agua_amarga.humedad_min_T_1"
