"","Overall"
"junin.temp_max_T_4",29.4969928618762
"junin.humedad_max_T_4",7.01652177050874
"junin.temp_med_T_4",29.451348009124
"junin.humedad_med_T_4",29.1404008418247
"junin.temp_min_T_4",36.9261771785289
"junin.humedad_min_T_4",16.407215811168
"tunuyan.temp_max_T_4",26.2578105310996
"tunuyan.humedad_max_T_4",6.58779257738123
"tunuyan.temp_med_T_4",31.5516909059212
"tunuyan.humedad_med_T_4",11.8375341320987
"tunuyan.temp_min_T_4",39.1892868625893
"tunuyan.humedad_min_T_4",16.2350130224574
"agua_amarga.temp_max_T_4",23.3269922984845
"agua_amarga.humedad_max_T_4",14.3327051240081
"agua_amarga.temp_med_T_4",20.9590876572156
"agua_amarga.humedad_med_T_4",13.7565193526149
"agua_amarga.temp_min_T_4",35.2640583825181
"agua_amarga.humedad_min_T_4",16.513593860266
"las_paredes.temp_max_T_4",42.9417158635156
"las_paredes.humedad_max_T_4",11.1149419091836
"las_paredes.temp_med_T_4",26.8931475915167
"las_paredes.humedad_med_T_4",19.2256168958434
"las_paredes.temp_min_T_4",28.924566732815
"las_paredes.humedad_min_T_4",16.4396030987314
"la_llave.temp_max_T_4",23.5269002480648
"la_llave.humedad_max_T_4",14.7072703120965
"la_llave.temp_med_T_4",47.4341209438624
"la_llave.humedad_med_T_4",18.9252924191452
"la_llave.temp_min_T_4",32.8690716313199
"la_llave.humedad_min_T_4",11.5734308226287
"junin.temp_max_T_3",28.4207643749669
"junin.humedad_max_T_3",4.56656555167387
"junin.temp_med_T_3",32.2481113044368
"junin.humedad_med_T_3",17.9559291500018
"junin.temp_min_T_3",23.1397166155694
"junin.humedad_min_T_3",14.1916526361008
"tunuyan.temp_max_T_3",26.0752823799999
"tunuyan.humedad_max_T_3",13.1960376709056
"tunuyan.temp_med_T_3",33.2594733623455
"tunuyan.humedad_med_T_3",22.5307184027593
"tunuyan.temp_min_T_3",19.1998341146235
"tunuyan.humedad_min_T_3",15.0649063010116
"agua_amarga.temp_max_T_3",31.191763021434
"agua_amarga.humedad_max_T_3",3.45462696298914
"agua_amarga.temp_med_T_3",24.4171528190727
"agua_amarga.humedad_med_T_3",9.2727175353186
"agua_amarga.temp_min_T_3",23.6864718563135
"agua_amarga.humedad_min_T_3",18.3668618424878
"las_paredes.temp_max_T_3",19.5423805883446
"las_paredes.humedad_max_T_3",22.4801077511605
"las_paredes.temp_med_T_3",28.5866805499445
"las_paredes.humedad_med_T_3",20.8536399517407
"las_paredes.temp_min_T_3",28.7760335553698
"las_paredes.humedad_min_T_3",12.7506714456726
"la_llave.temp_max_T_3",25.4025665570016
"la_llave.humedad_max_T_3",15.6086818676279
"la_llave.temp_med_T_3",28.13869453546
"la_llave.humedad_med_T_3",19.3154631688396
"la_llave.temp_min_T_3",35.0135602629806
"la_llave.humedad_min_T_3",18.908113865044
"junin.temp_max_T_2",43.341862272239
"junin.humedad_max_T_2",7.6262588277245
"junin.temp_med_T_2",21.2641091006109
"junin.humedad_med_T_2",23.3521394390877
"junin.temp_min_T_2",32.4466912123573
"junin.humedad_min_T_2",22.269936878464
"tunuyan.temp_max_T_2",22.647972740237
"tunuyan.humedad_max_T_2",0
"tunuyan.temp_med_T_2",42.0528642949016
"tunuyan.humedad_med_T_2",15.4920460477739
"tunuyan.temp_min_T_2",36.6057508951804
"tunuyan.humedad_min_T_2",25.7322095629184
"agua_amarga.temp_max_T_2",20.5931314812068
"agua_amarga.humedad_max_T_2",1.64679475369242
"agua_amarga.temp_med_T_2",12.7065952239643
"agua_amarga.humedad_med_T_2",16.6812548586311
"agua_amarga.temp_min_T_2",9.42184271644548
"agua_amarga.humedad_min_T_2",21.6022634665884
"las_paredes.temp_max_T_2",28.3669645914556
"las_paredes.humedad_max_T_2",14.1588864689657
"las_paredes.temp_med_T_2",31.3704553170415
"las_paredes.humedad_med_T_2",21.5056803610147
"las_paredes.temp_min_T_2",16.5786612023726
"las_paredes.humedad_min_T_2",13.2430560231268
"la_llave.temp_max_T_2",30.2211574437704
"la_llave.humedad_max_T_2",11.7385489525952
"la_llave.temp_med_T_2",11.9822544360589
"la_llave.humedad_med_T_2",16.872329174032
"la_llave.temp_min_T_2",20.9050027083084
"la_llave.humedad_min_T_2",25.4625806671298
"junin.temp_max_T_1",95.3742576670481
"junin.humedad_max_T_1",23.3859747680809
"junin.temp_med_T_1",100
"junin.humedad_med_T_1",80.582216024215
"junin.temp_min_T_1",73.9921647977461
"junin.humedad_min_T_1",70.3489416291456
"tunuyan.temp_max_T_1",62.4500116211936
"tunuyan.humedad_max_T_1",49.0681286275609
"tunuyan.temp_med_T_1",61.0420924429136
"tunuyan.humedad_med_T_1",86.1563956619077
"tunuyan.temp_min_T_1",63.8630004157149
"tunuyan.humedad_min_T_1",81.6421909106588
"agua_amarga.temp_max_T_1",62.8449554392867
"agua_amarga.humedad_max_T_1",31.2760324703738
"agua_amarga.temp_med_T_1",59.7033545543528
"agua_amarga.humedad_med_T_1",42.0943324672938
"agua_amarga.temp_min_T_1",51.7065293521741
"agua_amarga.humedad_min_T_1",55.2740580465247
"las_paredes.temp_max_T_1",52.0449371933374
"las_paredes.humedad_max_T_1",33.2685478268836
"las_paredes.temp_med_T_1",53.8310588806118
"las_paredes.humedad_med_T_1",61.7383759774987
"las_paredes.temp_min_T_1",49.3662588499702
"las_paredes.humedad_min_T_1",49.977144899963
"la_llave.temp_max_T_1",46.4812894304552
"la_llave.humedad_max_T_1",36.9812011645539
"la_llave.temp_med_T_1",39.772157046377
"la_llave.humedad_med_T_1",65.8837750681095
"la_llave.temp_min_T_1",54.7148779619985
"la_llave.humedad_min_T_1",70.1616243117509
