"","nodes"
"1","junin.temp_med_T_3"
"2","tunuyan.temp_min_T_3"
"3","agua_amarga.temp_min_T_3"
"4","las_paredes.temp_med_T_3"
"5","junin.humedad_med_T_2"
"6","la_llave.temp_max_T_2"
"7","la_llave.humedad_min_T_2"
"8","junin.temp_med_T_1"
"9","junin.humedad_med_T_1"
"10","junin.temp_min_T_1"
"11","tunuyan.temp_max_T_1"
"12","tunuyan.humedad_min_T_1"
"13","agua_amarga.humedad_max_T_1"
"14","agua_amarga.temp_min_T_1"
"15","agua_amarga.humedad_min_T_1"
"16","las_paredes.temp_med_T_1"
"17","la_llave.temp_max_T_1"
"18","la_llave.humedad_min_T_1"
