"","Overall"
"junin.temp_max_T_4",29.468847292182
"junin.humedad_max_T_4",6.47903936986841
"junin.temp_med_T_4",18.0106473678393
"junin.humedad_med_T_4",21.182020950776
"junin.temp_min_T_4",29.8152569891055
"junin.humedad_min_T_4",11.9397318234564
"junin.temp_max_T_3",30.0490043684357
"junin.humedad_max_T_3",0
"junin.temp_med_T_3",13.7379599787434
"junin.humedad_med_T_3",12.7976219378328
"junin.temp_min_T_3",12.7275641927198
"junin.humedad_min_T_3",11.4713060800561
"junin.temp_max_T_2",39.9862106561505
"junin.humedad_max_T_2",16.71516663442
"junin.temp_med_T_2",4.46855347010233
"junin.humedad_med_T_2",28.3145087361426
"junin.temp_min_T_2",5.28641743405095
"junin.humedad_min_T_2",26.2808475183777
"junin.temp_max_T_1",56.8700300810758
"junin.humedad_max_T_1",37.7861583345843
"junin.temp_med_T_1",72.5249070817041
"junin.humedad_med_T_1",100
"junin.temp_min_T_1",38.1337695951311
"junin.humedad_min_T_1",74.6240601701424
