"","nodes"
"1","junin.temp_max_T_4"
"2","junin.humedad_max_T_4"
"3","junin.temp_med_T_4"
"4","junin.humedad_med_T_4"
"5","junin.temp_min_T_4"
"6","junin.humedad_min_T_4"
"7","junin.temp_max_T_3"
"8","junin.humedad_max_T_3"
"9","junin.temp_med_T_3"
"10","junin.humedad_med_T_3"
"11","junin.temp_min_T_3"
"12","junin.humedad_min_T_3"
"13","junin.temp_max_T_2"
"14","junin.humedad_max_T_2"
"15","junin.temp_med_T_2"
"16","junin.humedad_med_T_2"
"17","junin.temp_min_T_2"
"18","junin.humedad_min_T_2"
"19","junin.temp_max_T_1"
"20","junin.humedad_max_T_1"
"21","junin.temp_med_T_1"
"22","junin.humedad_med_T_1"
"23","junin.temp_min_T_1"
"24","junin.humedad_min_T_1"
