"","Overall"
"junin.temp_max_T_3",14.3149528568939
"junin.humedad_max_T_3",4.36102967545005
"junin.temp_med_T_3",23.3294197845036
"junin.humedad_med_T_3",10.8552362710557
"junin.temp_min_T_3",28.9364772455793
"junin.humedad_min_T_3",14.4750461842106
"tunuyan.temp_max_T_3",11.8227462397209
"tunuyan.humedad_max_T_3",0.745292148344458
"tunuyan.temp_med_T_3",14.7187694824738
"tunuyan.humedad_med_T_3",12.8669149197922
"tunuyan.temp_min_T_3",39.3202936675264
"tunuyan.humedad_min_T_3",7.60378044743758
"agua_amarga.temp_max_T_3",5.94103383549968
"agua_amarga.humedad_max_T_3",2.681784918068
"agua_amarga.temp_med_T_3",12.2019918582948
"agua_amarga.humedad_med_T_3",4.84850655384345
"agua_amarga.temp_min_T_3",37.0100357441728
"agua_amarga.humedad_min_T_3",6.87475992652189
"las_paredes.temp_max_T_3",18.9148808547859
"las_paredes.humedad_max_T_3",3.4194493012798
"las_paredes.temp_med_T_3",11.8469675678705
"las_paredes.humedad_med_T_3",2.61968843171293
"las_paredes.temp_min_T_3",25.9325666253282
"las_paredes.humedad_min_T_3",3.01910413700774
"la_llave.temp_max_T_3",26.4098886404477
"la_llave.humedad_max_T_3",2.78403355830861
"la_llave.temp_med_T_3",37.1859735912508
"la_llave.humedad_med_T_3",21.2078999364101
"la_llave.temp_min_T_3",39.2147585128049
"la_llave.humedad_min_T_3",20.4330451863088
"junin.temp_max_T_2",20.4705895611425
"junin.humedad_max_T_2",9.60769196284217
"junin.temp_med_T_2",16.9074218596961
"junin.humedad_med_T_2",16.4788151023107
"junin.temp_min_T_2",29.2478672082434
"junin.humedad_min_T_2",24.4222714694607
"tunuyan.temp_max_T_2",18.6073784458656
"tunuyan.humedad_max_T_2",5.27787517804212
"tunuyan.temp_med_T_2",53.9414133394782
"tunuyan.humedad_med_T_2",19.7797721616448
"tunuyan.temp_min_T_2",47.3345625411121
"tunuyan.humedad_min_T_2",20.2988814722725
"agua_amarga.temp_max_T_2",19.7999236207056
"agua_amarga.humedad_max_T_2",0
"agua_amarga.temp_med_T_2",16.494088934098
"agua_amarga.humedad_med_T_2",22.8842691200022
"agua_amarga.temp_min_T_2",21.0680547041997
"agua_amarga.humedad_min_T_2",20.3407362640773
"las_paredes.temp_max_T_2",31.8477254057899
"las_paredes.humedad_max_T_2",18.4781645173445
"las_paredes.temp_med_T_2",22.8630963419872
"las_paredes.humedad_med_T_2",15.3131084910952
"las_paredes.temp_min_T_2",13.5405962524599
"las_paredes.humedad_min_T_2",18.3207512920686
"la_llave.temp_max_T_2",39.4070630713475
"la_llave.humedad_max_T_2",10.7665514501379
"la_llave.temp_med_T_2",24.304713000883
"la_llave.humedad_med_T_2",16.9569898631943
"la_llave.temp_min_T_2",28.6913696842254
"la_llave.humedad_min_T_2",13.6698319833449
"junin.temp_max_T_1",70.3099595390013
"junin.humedad_max_T_1",28.4581324113995
"junin.temp_med_T_1",81.8988811748376
"junin.humedad_med_T_1",57.7149582712882
"junin.temp_min_T_1",55.8756699557951
"junin.humedad_min_T_1",52.908130706105
"tunuyan.temp_max_T_1",54.5543244711991
"tunuyan.humedad_max_T_1",15.0173088615391
"tunuyan.temp_med_T_1",41.3716471179397
"tunuyan.humedad_med_T_1",74.6129751587017
"tunuyan.temp_min_T_1",58.4699727142054
"tunuyan.humedad_min_T_1",73.4746893284703
"agua_amarga.temp_max_T_1",48.888475612185
"agua_amarga.humedad_max_T_1",16.0595262972477
"agua_amarga.temp_med_T_1",20.7132941174952
"agua_amarga.humedad_med_T_1",41.8283284285939
"agua_amarga.temp_min_T_1",32.2382516573016
"agua_amarga.humedad_min_T_1",83.3400436105657
"las_paredes.temp_max_T_1",80.1573541723479
"las_paredes.humedad_max_T_1",29.5153024221096
"las_paredes.temp_med_T_1",49.430882679335
"las_paredes.humedad_med_T_1",48.9768554120291
"las_paredes.temp_min_T_1",84.4382346062384
"las_paredes.humedad_min_T_1",61.7479809917143
"la_llave.temp_max_T_1",82.9180822197329
"la_llave.humedad_max_T_1",42.500866421308
"la_llave.temp_med_T_1",68.3974265161665
"la_llave.humedad_med_T_1",90.8992277341613
"la_llave.temp_min_T_1",100
"la_llave.humedad_min_T_1",79.633651300451
