"","Overall"
"la_llave.temp_max_T_4",23.7899228347188
"la_llave.humedad_max_T_4",0
"la_llave.temp_med_T_4",31.5448146158421
"la_llave.humedad_med_T_4",14.6206303725257
"la_llave.temp_min_T_4",32.1246603928579
"la_llave.humedad_min_T_4",12.5534043582428
"la_llave.temp_max_T_3",21.8689710873364
"la_llave.humedad_max_T_3",6.02809044839002
"la_llave.temp_med_T_3",11.7868363835959
"la_llave.humedad_med_T_3",17.045776617449
"la_llave.temp_min_T_3",25.2895349734364
"la_llave.humedad_min_T_3",24.6435113620276
"la_llave.temp_max_T_2",27.6739465101233
"la_llave.humedad_max_T_2",14.6645424016604
"la_llave.temp_med_T_2",16.4517789363424
"la_llave.humedad_med_T_2",20.5613495347107
"la_llave.temp_min_T_2",26.1881267206447
"la_llave.humedad_min_T_2",32.1311080523905
"la_llave.temp_max_T_1",100
"la_llave.humedad_max_T_1",54.5440750383276
"la_llave.temp_med_T_1",83.8131803899053
"la_llave.humedad_med_T_1",96.0588034336867
"la_llave.temp_min_T_1",68.055571841728
"la_llave.humedad_min_T_1",87.8334057250173
