"","nodes"
"1","la_llave.temp_max_T_4"
"2","la_llave.temp_min_T_4"
"3","la_llave.humedad_min_T_4"
"4","la_llave.temp_max_T_3"
"5","la_llave.humedad_max_T_3"
"6","la_llave.temp_med_T_3"
"7","la_llave.humedad_med_T_3"
"8","la_llave.humedad_min_T_3"
"9","la_llave.temp_max_T_2"
"10","la_llave.temp_med_T_2"
"11","la_llave.temp_min_T_2"
"12","la_llave.humedad_min_T_2"
"13","la_llave.temp_max_T_1"
"14","la_llave.temp_med_T_1"
"15","la_llave.humedad_med_T_1"
"16","la_llave.temp_min_T_1"
"17","la_llave.humedad_min_T_1"
