"","nodes"
"1","junin.temp_med_T_1"
"2","tunuyan.temp_max_T_1"
"3","tunuyan.humedad_max_T_1"
"4","tunuyan.temp_med_T_1"
"5","tunuyan.humedad_med_T_1"
"6","tunuyan.temp_min_T_1"
"7","agua_amarga.humedad_med_T_1"
"8","agua_amarga.temp_min_T_1"
"9","agua_amarga.humedad_min_T_1"
"10","las_paredes.temp_max_T_1"
"11","las_paredes.humedad_med_T_1"
"12","las_paredes.temp_min_T_1"
"13","las_paredes.humedad_min_T_1"
"14","la_llave.temp_max_T_1"
"15","la_llave.temp_med_T_1"
"16","la_llave.humedad_med_T_1"
