"","Overall"
"junin.temp_max_T_4",23.5919817426527
"junin.humedad_max_T_4",10.1303373720575
"junin.temp_med_T_4",28.2479677650543
"junin.humedad_med_T_4",9.91602180410122
"junin.temp_min_T_4",30.2081064237411
"junin.humedad_min_T_4",16.032764250005
"tunuyan.temp_max_T_4",18.4726560801681
"tunuyan.humedad_max_T_4",3.98800375431684
"tunuyan.temp_med_T_4",20.5352445028471
"tunuyan.humedad_med_T_4",15.1915904202591
"tunuyan.temp_min_T_4",37.1335086922988
"tunuyan.humedad_min_T_4",15.9517523970104
"agua_amarga.temp_max_T_4",32.9969192524382
"agua_amarga.humedad_max_T_4",12.4680752118532
"agua_amarga.temp_med_T_4",21.9800172437407
"agua_amarga.humedad_med_T_4",15.8855990167409
"agua_amarga.temp_min_T_4",8.98063370725296
"agua_amarga.humedad_min_T_4",8.77476214400888
"las_paredes.temp_max_T_4",33.0985144232003
"las_paredes.humedad_max_T_4",9.70649733981107
"las_paredes.temp_med_T_4",14.0988725176852
"las_paredes.humedad_med_T_4",12.4354265392255
"las_paredes.temp_min_T_4",27.312314337474
"las_paredes.humedad_min_T_4",12.9332662564054
"la_llave.temp_max_T_4",23.3319966212675
"la_llave.humedad_max_T_4",8.03384263161989
"la_llave.temp_med_T_4",13.3133003094013
"la_llave.humedad_med_T_4",15.4476423543996
"la_llave.temp_min_T_4",34.0124416046452
"la_llave.humedad_min_T_4",15.5186089854126
"junin.temp_max_T_3",18.5819477277479
"junin.humedad_max_T_3",20.4815797396728
"junin.temp_med_T_3",14.5649879363806
"junin.humedad_med_T_3",24.657764049161
"junin.temp_min_T_3",25.4298198881756
"junin.humedad_min_T_3",20.6094217131319
"tunuyan.temp_max_T_3",28.3219293886256
"tunuyan.humedad_max_T_3",8.899725781387
"tunuyan.temp_med_T_3",11.2743671746139
"tunuyan.humedad_med_T_3",13.1720913128617
"tunuyan.temp_min_T_3",17.6717316278571
"tunuyan.humedad_min_T_3",17.7724891963417
"agua_amarga.temp_max_T_3",31.8250586262086
"agua_amarga.humedad_max_T_3",19.311745704497
"agua_amarga.temp_med_T_3",26.2379886099022
"agua_amarga.humedad_med_T_3",15.722247344358
"agua_amarga.temp_min_T_3",22.6539693712585
"agua_amarga.humedad_min_T_3",20.6226725077552
"las_paredes.temp_max_T_3",14.2992204163254
"las_paredes.humedad_max_T_3",13.5652655383544
"las_paredes.temp_med_T_3",25.8724680260966
"las_paredes.humedad_med_T_3",21.7444165441616
"las_paredes.temp_min_T_3",18.8186970067965
"las_paredes.humedad_min_T_3",15.7841392691683
"la_llave.temp_max_T_3",27.1000507919503
"la_llave.humedad_max_T_3",13.1749462003298
"la_llave.temp_med_T_3",28.5392827829534
"la_llave.humedad_med_T_3",22.1236985425725
"la_llave.temp_min_T_3",28.9558067702562
"la_llave.humedad_min_T_3",17.1015936005075
"junin.temp_max_T_2",30.0831753513534
"junin.humedad_max_T_2",16.8350465392839
"junin.temp_med_T_2",17.9115748408144
"junin.humedad_med_T_2",26.0069304555432
"junin.temp_min_T_2",22.964188802393
"junin.humedad_min_T_2",20.6295558495648
"tunuyan.temp_max_T_2",6.55760160553153
"tunuyan.humedad_max_T_2",12.1189074980094
"tunuyan.temp_med_T_2",39.8007533170691
"tunuyan.humedad_med_T_2",18.2614624057777
"tunuyan.temp_min_T_2",31.6018611758195
"tunuyan.humedad_min_T_2",14.7719672653422
"agua_amarga.temp_max_T_2",22.2837171270764
