"","Overall"
"las_paredes.temp_max_T_4",39.2106233502149
"las_paredes.humedad_max_T_4",7.24206995616629
"las_paredes.temp_med_T_4",16.8096543707032
"las_paredes.humedad_med_T_4",17.2079842205443
"las_paredes.temp_min_T_4",27.004747798095
"las_paredes.humedad_min_T_4",12.9502735436071
"las_paredes.temp_max_T_3",15.6445798447332
"las_paredes.humedad_max_T_3",14.5997382133055
"las_paredes.temp_med_T_3",4.50698936547003
"las_paredes.humedad_med_T_3",18.5619417278927
"las_paredes.temp_min_T_3",16.0256641422302
"las_paredes.humedad_min_T_3",19.8973839899005
"las_paredes.temp_max_T_2",33.6045725644429
"las_paredes.humedad_max_T_2",15.6196793627155
"las_paredes.temp_med_T_2",1.03436696836371
"las_paredes.humedad_med_T_2",22.6513709104284
"las_paredes.temp_min_T_2",0
"las_paredes.humedad_min_T_2",24.2101418794725
"las_paredes.temp_max_T_1",41.6607151092884
"las_paredes.humedad_max_T_1",38.379668597774
"las_paredes.temp_med_T_1",100
"las_paredes.humedad_med_T_1",66.8291402898576
"las_paredes.temp_min_T_1",56.6362673006636
"las_paredes.humedad_min_T_1",70.0942232151601
