"","Overall"
"junin.temp_max_T_4",22.1147361938711
"junin.humedad_max_T_4",12.6559815677861
"junin.temp_med_T_4",13.532081640789
"junin.humedad_med_T_4",21.725994504774
"junin.temp_min_T_4",19.9676315821983
"junin.humedad_min_T_4",18.3258997362404
"tunuyan.temp_max_T_4",12.0272534678061
"tunuyan.humedad_max_T_4",0
"tunuyan.temp_med_T_4",28.0970336355437
"tunuyan.humedad_med_T_4",15.1570062553295
"tunuyan.temp_min_T_4",29.0346641828604
"tunuyan.humedad_min_T_4",17.5994955461035
"agua_amarga.temp_max_T_4",25.6763681112535
"agua_amarga.humedad_max_T_4",15.3899802885577
"agua_amarga.temp_med_T_4",18.3953372728582
"agua_amarga.humedad_med_T_4",19.8111490660318
"agua_amarga.temp_min_T_4",24.4692621314562
"agua_amarga.humedad_min_T_4",20.3565427417045
"las_paredes.temp_max_T_4",20.429214691829
"las_paredes.humedad_max_T_4",16.1689253300102
"las_paredes.temp_med_T_4",22.4469238673151
"las_paredes.humedad_med_T_4",15.8211993807202
"las_paredes.temp_min_T_4",18.2717552997071
"las_paredes.humedad_min_T_4",9.0458059742259
"la_llave.temp_max_T_4",21.1172869859369
"la_llave.humedad_max_T_4",19.8515036934983
"la_llave.temp_med_T_4",23.2093221597763
"la_llave.humedad_med_T_4",13.2319347636372
"la_llave.temp_min_T_4",13.2153555799857
"la_llave.humedad_min_T_4",10.6158861541296
"junin.temp_max_T_3",17.7734373287015
"junin.humedad_max_T_3",17.3562227148297
"junin.temp_med_T_3",22.1009859325506
"junin.humedad_med_T_3",21.8194172278504
"junin.temp_min_T_3",22.6224592633594
"junin.humedad_min_T_3",20.3474244416395
"tunuyan.temp_max_T_3",23.5411798271463
"tunuyan.humedad_max_T_3",24.8596221712034
"tunuyan.temp_med_T_3",33.655021066397
"tunuyan.humedad_med_T_3",22.2710704970238
"tunuyan.temp_min_T_3",27.90091983282
"tunuyan.humedad_min_T_3",17.505263977362
"agua_amarga.temp_max_T_3",27.2260652186851
"agua_amarga.humedad_max_T_3",8.68012246809747
"agua_amarga.temp_med_T_3",22.6731853478776
"agua_amarga.humedad_med_T_3",20.5663931908991
"agua_amarga.temp_min_T_3",21.6272730485608
"agua_amarga.humedad_min_T_3",15.9127356444947
