"","nodes"
"1","junin.humedad_med_T_3"
"2","tunuyan.temp_min_T_3"
"3","agua_amarga.temp_min_T_3"
"4","junin.temp_max_T_2"
"5","junin.humedad_min_T_2"
"6","tunuyan.humedad_med_T_2"
"7","tunuyan.temp_min_T_2"
"8","junin.temp_max_T_1"
"9","junin.temp_med_T_1"
"10","junin.humedad_min_T_1"
"11","tunuyan.humedad_max_T_1"
"12","tunuyan.temp_med_T_1"
"13","tunuyan.humedad_med_T_1"
"14","tunuyan.temp_min_T_1"
"15","las_paredes.temp_max_T_1"
"16","las_paredes.temp_med_T_1"
"17","las_paredes.humedad_min_T_1"
"18","la_llave.temp_min_T_1"
