"","Overall"
"tunuyan.temp_max_T_2",59.2318770001949
"tunuyan.humedad_max_T_2",8.06576469959091
"tunuyan.temp_med_T_2",72.5874336860067
"tunuyan.humedad_med_T_2",0.186356083407463
"tunuyan.temp_min_T_2",64.3889699406747
"tunuyan.humedad_min_T_2",0
"tunuyan.temp_max_T_1",61.2132803907791
"tunuyan.humedad_max_T_1",9.00713658516154
"tunuyan.temp_med_T_1",79.3710203160122
"tunuyan.humedad_med_T_1",1.46912995051422
"tunuyan.temp_min_T_1",76.0420441799116
"tunuyan.humedad_min_T_1",2.12554846541689
"Y",100
