"","Overall"
"tunuyan.temp_max_T_4",8.2772309162908
"tunuyan.humedad_max_T_4",0
"tunuyan.temp_med_T_4",9.75887846654547
"tunuyan.humedad_med_T_4",11.6899558459287
"tunuyan.temp_min_T_4",19.2937045686159
"tunuyan.humedad_min_T_4",4.3945869720409
"tunuyan.temp_max_T_3",25.2843810680845
"tunuyan.humedad_max_T_3",14.8212861864007
"tunuyan.temp_med_T_3",8.75808435400592
"tunuyan.humedad_med_T_3",13.0190679091589
"tunuyan.temp_min_T_3",21.0202947594927
"tunuyan.humedad_min_T_3",12.7900418427063
"tunuyan.temp_max_T_2",20.7496796320429
"tunuyan.humedad_max_T_2",11.9112221325368
"tunuyan.temp_med_T_2",18.0017953480222
"tunuyan.humedad_med_T_2",15.0548382286575
"tunuyan.temp_min_T_2",18.8539287015799
"tunuyan.humedad_min_T_2",22.3748936765354
"tunuyan.temp_max_T_1",52.6211632287765
"tunuyan.humedad_max_T_1",20.1515065309284
"tunuyan.temp_med_T_1",66.0625087107467
"tunuyan.humedad_med_T_1",89.264681819645
"tunuyan.temp_min_T_1",49.6017576934062
"tunuyan.humedad_min_T_1",100
