"","Overall"
"junin.temp_max_T_2",44.0929239208102
"junin.temp_med_T_2",16.9567877821422
"junin.temp_min_T_2",25.4951391454386
"tunuyan.temp_max_T_2",61.7418749429944
"tunuyan.temp_med_T_2",28.8503451503912
"tunuyan.temp_min_T_2",71.4011138865974
"agua_amarga.temp_max_T_2",51.2136016907186
"agua_amarga.temp_med_T_2",24.5565540090312
"agua_amarga.temp_min_T_2",31.9644086467796
"las_paredes.temp_max_T_2",58.0766507454037
"las_paredes.temp_med_T_2",0
"las_paredes.temp_min_T_2",15.7510721922816
"la_llave.temp_max_T_2",59.4651608216828
"la_llave.temp_med_T_2",13.44077117274
"la_llave.temp_min_T_2",28.1281114014574
"junin.temp_max_T_1",56.5895969272664
"junin.temp_med_T_1",26.7933887802296
"junin.temp_min_T_1",27.0040522908492
"tunuyan.temp_max_T_1",33.7235109840173
"tunuyan.temp_med_T_1",35.9602645226246
"tunuyan.temp_min_T_1",100
"agua_amarga.temp_max_T_1",56.7359957237402
"agua_amarga.temp_med_T_1",40.5088215638147
"agua_amarga.temp_min_T_1",35.1105098289552
"las_paredes.temp_max_T_1",60.4008023191112
"las_paredes.temp_med_T_1",43.9679228847704
"las_paredes.temp_min_T_1",50.3065828536357
"la_llave.temp_max_T_1",56.7084113654199
"la_llave.temp_med_T_1",29.8536685458354
"la_llave.temp_min_T_1",48.8746490605501
