"","Overall"
"agua_amarga.temp_max_T_4",10.8537082333197
"agua_amarga.temp_med_T_4",11.7815574039413
"agua_amarga.temp_min_T_4",58.1922677852643
"agua_amarga.temp_max_T_3",9.53841655508017
"agua_amarga.temp_med_T_3",8.85102278845019
"agua_amarga.temp_min_T_3",30.649993301009
"agua_amarga.temp_max_T_2",72.269135548475
"agua_amarga.temp_med_T_2",0
"agua_amarga.temp_min_T_2",30.5527725446962
"agua_amarga.temp_max_T_1",100
"agua_amarga.temp_med_T_1",75.0358526747898
"agua_amarga.temp_min_T_1",51.2518676406673
