"","Overall"
"junin.temp_max_T_3",63.4072870297936
"junin.temp_med_T_3",34.8139983472331
"junin.temp_min_T_3",49.6757414326559
"tunuyan.temp_max_T_3",35.3111626060745
"tunuyan.temp_med_T_3",46.5343352686569
"tunuyan.temp_min_T_3",45.059705901152
"agua_amarga.temp_max_T_3",46.4651795140256
"agua_amarga.temp_med_T_3",9.37601835732093
"agua_amarga.temp_min_T_3",35.5817225484759
"las_paredes.temp_max_T_3",40.3053550800321
"las_paredes.temp_med_T_3",36.3182996434897
"las_paredes.temp_min_T_3",15.8754609964807
"la_llave.temp_max_T_3",49.7497096354708
"la_llave.temp_med_T_3",49.891148174058
"la_llave.temp_min_T_3",44.0127489866934
"junin.temp_max_T_2",74.1757356476245
"junin.temp_med_T_2",18.0866964725237
"junin.temp_min_T_2",59.626670056492
"tunuyan.temp_max_T_2",50.1285036413927
"tunuyan.temp_med_T_2",39.2630325183187
"tunuyan.temp_min_T_2",58.2443918878425
"agua_amarga.temp_max_T_2",29.5787965136714
"agua_amarga.temp_med_T_2",24.3013828589406
"agua_amarga.temp_min_T_2",46.3581210492616
"las_paredes.temp_max_T_2",45.1764995108014
"las_paredes.temp_med_T_2",0
"las_paredes.temp_min_T_2",33.6970612435171
"la_llave.temp_max_T_2",45.6638640238712
"la_llave.temp_med_T_2",12.2304195279916
"la_llave.temp_min_T_2",34.2811776060839
"junin.temp_max_T_1",77.5825862378913
"junin.temp_med_T_1",82.7683220412624
"junin.temp_min_T_1",81.88123453527
"tunuyan.temp_max_T_1",85.4993482700106
"tunuyan.temp_med_T_1",56.4886226528384
"tunuyan.temp_min_T_1",100
"agua_amarga.temp_max_T_1",87.0856832170031
"agua_amarga.temp_med_T_1",48.2927220037854
"agua_amarga.temp_min_T_1",53.4166615773984
"las_paredes.temp_max_T_1",64.6322526871734
"las_paredes.temp_med_T_1",49.2747586129965
"las_paredes.temp_min_T_1",66.252577739539
"la_llave.temp_max_T_1",68.0194709220058
"la_llave.temp_med_T_1",32.5260949937908
"la_llave.temp_min_T_1",89.8216812136016
