"","Overall"
"junin.temp_max_T_4",23.5319144210578
"junin.temp_med_T_4",17.3693171420866
"junin.temp_min_T_4",34.1791920779565
"tunuyan.temp_max_T_4",21.5195382540112
"tunuyan.temp_med_T_4",15.309524830788
"tunuyan.temp_min_T_4",56.9545848358822
"agua_amarga.temp_max_T_4",22.5577922379824
"agua_amarga.temp_med_T_4",20.9300993996667
"agua_amarga.temp_min_T_4",26.9252265182316
"las_paredes.temp_max_T_4",48.5211730210796
"las_paredes.temp_med_T_4",33.0837790532592
"las_paredes.temp_min_T_4",23.9157223691785
"la_llave.temp_max_T_4",34.2299823294471
"la_llave.temp_med_T_4",19.4587084228769
"la_llave.temp_min_T_4",20.1895649793557
"junin.temp_max_T_3",25.1051493942566
"junin.temp_med_T_3",5.61357825853582
"junin.temp_min_T_3",20.0175293651093
"tunuyan.temp_max_T_3",9.66335002260664
"tunuyan.temp_med_T_3",16.1330800352002
"tunuyan.temp_min_T_3",42.6640667930189
"agua_amarga.temp_max_T_3",34.0954820180794
"agua_amarga.temp_med_T_3",11.2729547109961
"agua_amarga.temp_min_T_3",30.8240719489422
"las_paredes.temp_max_T_3",7.93109382207217
"las_paredes.temp_med_T_3",9.65099546270403
"las_paredes.temp_min_T_3",19.1091406407457
"la_llave.temp_max_T_3",48.0168108997634
"la_llave.temp_med_T_3",35.6268698207004
"la_llave.temp_min_T_3",39.4095678830927
"junin.temp_max_T_2",38.6748179279027
"junin.temp_med_T_2",20.6989539958221
"junin.temp_min_T_2",19.6695985522972
"tunuyan.temp_max_T_2",29.0532975132564
"tunuyan.temp_med_T_2",46.145108089671
"tunuyan.temp_min_T_2",65.1576710428835
"agua_amarga.temp_max_T_2",27.9001336190654
"agua_amarga.temp_med_T_2",16.8906635157677
"agua_amarga.temp_min_T_2",29.7863668384697
"las_paredes.temp_max_T_2",48.3079715445155
"las_paredes.temp_med_T_2",0
"las_paredes.temp_min_T_2",28.7651892967258
"la_llave.temp_max_T_2",53.5743919160444
"la_llave.temp_med_T_2",8.62397458998088
"la_llave.temp_min_T_2",27.8895333188862
"junin.temp_max_T_1",47.2054841722163
"junin.temp_med_T_1",40.0519487429842
"junin.temp_min_T_1",38.319859940377
"tunuyan.temp_max_T_1",57.916100429614
"tunuyan.temp_med_T_1",43.2548181397167
"tunuyan.temp_min_T_1",84.8818053333082
"agua_amarga.temp_max_T_1",57.6937107445185
"agua_amarga.temp_med_T_1",26.8856947679406
"agua_amarga.temp_min_T_1",42.6410943355935
"las_paredes.temp_max_T_1",84.5396652441997
"las_paredes.temp_med_T_1",58.5090031753397
"las_paredes.temp_min_T_1",70.9812436817721
"la_llave.temp_max_T_1",81.469022731813
"la_llave.temp_med_T_1",58.2474818202555
"la_llave.temp_min_T_1",100
