"","Overall"
"junin.temp_max_T_3",21.4925987212449
"junin.temp_med_T_3",14.1953670320087
"junin.temp_min_T_3",68.6827457430075
"tunuyan.temp_max_T_3",41.4612321153408
"tunuyan.temp_med_T_3",13.8331871169647
"tunuyan.temp_min_T_3",49.859427521031
"agua_amarga.temp_max_T_3",55.1464508456302
"agua_amarga.temp_med_T_3",11.2558955871206
"agua_amarga.temp_min_T_3",43.1547310265052
"las_paredes.temp_max_T_3",37.8417725509735
"las_paredes.temp_med_T_3",28.2683874365273
"las_paredes.temp_min_T_3",39.1435633943837
"la_llave.temp_max_T_3",44.845355740008
"la_llave.temp_med_T_3",54.96027406348
"la_llave.temp_min_T_3",37.3584818734301
"junin.temp_max_T_2",66.5657311119407
"junin.temp_med_T_2",0
"junin.temp_min_T_2",28.7769059054327
"tunuyan.temp_max_T_2",51.1925491172864
"tunuyan.temp_med_T_2",57.3236401550787
"tunuyan.temp_min_T_2",66.2199704818935
"agua_amarga.temp_max_T_2",41.2189840755347
"agua_amarga.temp_med_T_2",31.0737400384144
"agua_amarga.temp_min_T_2",35.7456016461137
"las_paredes.temp_max_T_2",45.750318805773
"las_paredes.temp_med_T_2",26.150183366107
"las_paredes.temp_min_T_2",40.6354796628929
"la_llave.temp_max_T_2",61.2668201874219
"la_llave.temp_med_T_2",53.6874430014987
"la_llave.temp_min_T_2",34.3251344489495
"junin.temp_max_T_1",55.2810493682322
"junin.temp_med_T_1",36.7005282518282
"junin.temp_min_T_1",31.6471843276189
"tunuyan.temp_max_T_1",40.4473653244321
"tunuyan.temp_med_T_1",33.045701523496
"tunuyan.temp_min_T_1",51.8593842491664
"agua_amarga.temp_max_T_1",40.7108127303212
"agua_amarga.temp_med_T_1",42.3591146418675
"agua_amarga.temp_min_T_1",34.2664745770421
"las_paredes.temp_max_T_1",100
"las_paredes.temp_med_T_1",73.4605464809153
"las_paredes.temp_min_T_1",91.7649789092332
"la_llave.temp_max_T_1",92.8686572355313
"la_llave.temp_med_T_1",48.4957011576475
"la_llave.temp_min_T_1",69.182734941921
