"","Overall"
"las_paredes.temp_max_T_4",69.2511078626888
"las_paredes.temp_med_T_4",31.9723880575743
"las_paredes.temp_min_T_4",37.180109993698
"las_paredes.temp_max_T_3",44.7939012050187
"las_paredes.temp_med_T_3",30.3139275768456
"las_paredes.temp_min_T_3",53.4067359392255
"las_paredes.temp_max_T_2",18.0830901143178
"las_paredes.temp_med_T_2",0
"las_paredes.temp_min_T_2",29.7451126470172
"las_paredes.temp_max_T_1",58.6747908110687
"las_paredes.temp_med_T_1",100
"las_paredes.temp_min_T_1",98.285060331146
