"","Overall"
"junin.temp_max_T_2",89.3340101270298
"junin.temp_med_T_2",0
"junin.temp_min_T_2",29.9342649318627
"tunuyan.temp_max_T_2",90.1929923075148
"tunuyan.temp_med_T_2",87.781202917734
"tunuyan.temp_min_T_2",84.0901985595104
"agua_amarga.temp_max_T_2",100
"agua_amarga.temp_med_T_2",11.6267960336247
"agua_amarga.temp_min_T_2",25.9474489543172
"las_paredes.temp_max_T_2",80.9106322944622
"las_paredes.temp_med_T_2",60.2433345286682
"las_paredes.temp_min_T_2",35.0666782544658
"la_llave.temp_max_T_2",78.2774528891433
"la_llave.temp_med_T_2",13.817014487067
"la_llave.temp_min_T_2",20.044229357
"junin.temp_max_T_1",69.5825190556971
"junin.temp_med_T_1",41.777584966515
"junin.temp_min_T_1",46.8091183473749
"tunuyan.temp_max_T_1",88.6602698714638
"tunuyan.temp_med_T_1",81.8134012367283
"tunuyan.temp_min_T_1",96.8343761619738
"agua_amarga.temp_max_T_1",82.0585664103059
"agua_amarga.temp_med_T_1",47.706882729805
"agua_amarga.temp_min_T_1",54.3436341875763
"las_paredes.temp_max_T_1",68.9048099934274
"las_paredes.temp_med_T_1",52.03083831133
"las_paredes.temp_min_T_1",59.0235147337976
"la_llave.temp_max_T_1",62.0187282994021
"la_llave.temp_med_T_1",33.0043717502824
"la_llave.temp_min_T_1",62.2205381676891
